source,relationship_type,target,weight
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_ii,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_iii,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_iv,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_v,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_w,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_x,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_z,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_z,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_i,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_ii,1.0
section_4_full,HAS_CHILD,section_4_subsection_1,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_4,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_4,1.0
section_4_subsection_4,HAS_CHILD,section_4_subsection_4_clause_a,1.0
section_4_subsection_4,HAS_CHILD,section_4_subsection_4_clause_b,1.0
section_4_subsection_4,HAS_CHILD,section_4_subsection_4_clause_c,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_full,HAS_CHILD,section_4_subsection_6,1.0
section_4_full,HAS_CHILD,section_4_subsection_7,1.0
section_4_full,HAS_CHILD,section_4_subsection_8,1.0
section_4_full,HAS_CHILD,section_4_subsection_9,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_a,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_b,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_c,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_d,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_e,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_f,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_g,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_i,1.0
section_4_subsection_9,HAS_CHILD,section_4_subsection_9_clause_ii,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_h,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_i,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_j,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_a,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_b,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_c,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_a,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_b,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_c,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_d,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_e,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_f,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_g,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_4,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_full,HAS_CHILD,section_4_subsection_6,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_a,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_b,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_d,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_a,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_b,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_g,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_b,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_b,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_b,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_i,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_c,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_i,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_ii,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_iii,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_iv,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_v,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_i,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_ii,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_ii,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_a,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_b,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_i,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_ii,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_i,1.0
section_4_subsection_3,HAS_CHILD,section_4_subsection_3_clause_ii,1.0
section_4_full,HAS_CHILD,section_4_subsection_4,1.0
section_4_subsection_4,HAS_CHILD,section_4_subsection_4_clause_a,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_b,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_c,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_d,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_a,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_b,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_b,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_c,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_d,1.0
section_4_subsection_5,HAS_CHILD,section_4_subsection_5_clause_e,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_i,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_ii,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_i,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_ii,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_b,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_c,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_subsection_proviso,HAS_CHILD,section_4_subsection_proviso_clause_d,1.0
section_4_full,HAS_CHILD,section_4_subsection_proviso,1.0
section_4_full,HAS_CHILD,section_4_subsection_1,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_a,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_i,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_ii,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_iii,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_b,1.0
section_4_subsection_2,HAS_CHILD,section_4_subsection_2_clause_c,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
